timestamp,heart_rate_bpm,sleep_hours,step_count,calories_burned,activity_type
2025-12-26 00:00:00,60,0.08,5,0.8,Sleeping
2025-12-26 00:05:00,51,0.17,6,0.75,Sleeping
2025-12-26 00:10:00,55,0.25,1,0.59,Sleeping
2025-12-26 00:15:00,55,0.33,6,0.79,Sleeping
2025-12-26 00:20:00,48,0.42,1,0.53,Sleeping
2025-12-26 00:25:00,53,0.5,8,0.85,Sleeping
2025-12-26 00:30:00,59,0.58,3,0.71,Sleeping
2025-12-26 00:35:00,53,0.67,2,0.62,Sleeping
2025-12-26 00:40:00,51,0.75,9,0.87,Sleeping
2025-12-26 00:45:00,51,0.83,9,0.88,Sleeping
2025-12-26 00:50:00,51,0.92,4,0.68,Sleeping
2025-12-26 00:55:00,58,1.0,2,0.66,Sleeping
2025-12-26 01:00:00,58,1.08,8,0.9,Sleeping
2025-12-26 01:05:00,58,1.17,2,0.66,Sleeping
2025-12-26 01:10:00,59,1.25,0,0.59,Sleeping
2025-12-26 01:15:00,61,1.33,0,0.62,Sleeping
2025-12-26 01:20:00,49,1.42,3,0.61,Sleeping
2025-12-26 01:25:00,58,1.5,3,0.7,Sleeping
2025-12-26 01:30:00,53,1.58,7,0.81,Sleeping
2025-12-26 01:35:00,54,1.67,1,0.59,Sleeping
2025-12-26 01:40:00,58,1.75,0,0.58,Sleeping
2025-12-26 01:45:00,55,1.83,1,0.59,Sleeping
2025-12-26 01:50:00,56,1.92,2,0.65,Sleeping
2025-12-26 01:55:00,57,2.0,2,0.65,Sleeping
2025-12-26 02:00:00,55,2.08,5,0.76,Sleeping
2025-12-26 02:05:00,58,2.17,5,0.78,Sleeping
2025-12-26 02:10:00,53,2.25,6,0.78,Sleeping
2025-12-26 02:15:00,58,2.33,1,0.63,Sleeping
2025-12-26 02:20:00,58,2.42,4,0.75,Sleeping
2025-12-26 02:25:00,47,2.5,7,0.76,Sleeping
2025-12-26 02:30:00,56,2.58,7,0.84,Sleeping
2025-12-26 02:35:00,58,2.67,6,0.82,Sleeping
2025-12-26 02:40:00,56,2.75,4,0.72,Sleeping
2025-12-26 02:45:00,55,2.83,1,0.59,Sleeping
2025-12-26 02:50:00,58,2.92,1,0.62,Sleeping
2025-12-26 02:55:00,62,3.0,9,0.98,Sleeping
2025-12-26 03:00:00,56,3.08,9,0.93,Sleeping
2025-12-26 03:05:00,58,3.17,5,0.79,Sleeping
2025-12-26 03:10:00,51,3.25,9,0.88,Sleeping
2025-12-26 03:15:00,54,3.33,8,0.86,Sleeping
2025-12-26 03:20:00,56,3.42,7,0.85,Sleeping
2025-12-26 03:25:00,52,3.5,8,0.85,Sleeping
2025-12-26 03:30:00,56,3.58,0,0.56,Sleeping
2025-12-26 03:35:00,55,3.67,1,0.6,Sleeping
2025-12-26 03:40:00,64,3.75,0,0.64,Sleeping
2025-12-26 03:45:00,52,3.83,1,0.57,Sleeping
2025-12-26 03:50:00,54,3.92,8,0.87,Sleeping
2025-12-26 03:55:00,57,4.0,0,0.58,Sleeping
2025-12-26 04:00:00,57,4.08,0,0.57,Sleeping
2025-12-26 04:05:00,51,4.17,7,0.8,Sleeping
2025-12-26 04:10:00,58,4.25,2,0.66,Sleeping
2025-12-26 04:15:00,47,4.33,9,0.83,Sleeping
2025-12-26 04:20:00,50,4.42,3,0.62,Sleeping
2025-12-26 04:25:00,56,4.5,2,0.65,Sleeping
2025-12-26 04:30:00,55,4.58,1,0.59,Sleeping
2025-12-26 04:35:00,58,4.67,5,0.78,Sleeping
2025-12-26 04:40:00,49,4.75,6,0.74,Sleeping
2025-12-26 04:45:00,58,4.83,5,0.79,Sleeping
2025-12-26 04:50:00,54,4.92,1,0.58,Sleeping
2025-12-26 04:55:00,61,5.0,6,0.85,Sleeping
2025-12-26 05:00:00,57,5.08,6,0.81,Sleeping
2025-12-26 05:05:00,54,5.17,7,0.83,Sleeping
2025-12-26 05:10:00,54,5.25,8,0.86,Sleeping
2025-12-26 05:15:00,56,5.33,4,0.72,Sleeping
2025-12-26 05:20:00,53,5.42,3,0.66,Sleeping
2025-12-26 05:25:00,52,5.5,2,0.61,Sleeping
2025-12-26 05:30:00,64,5.58,3,0.76,Sleeping
2025-12-26 05:35:00,59,5.67,3,0.71,Sleeping
2025-12-26 05:40:00,53,5.75,4,0.7,Sleeping
2025-12-26 05:45:00,55,5.83,3,0.67,Sleeping
2025-12-26 05:50:00,58,5.92,2,0.67,Sleeping
2025-12-26 05:55:00,55,6.0,7,0.83,Sleeping
2025-12-26 06:00:00,78,0.0,68,3.51,Walking
2025-12-26 06:05:00,83,0.0,65,3.44,Walking
2025-12-26 06:10:00,88,0.0,68,3.6,Walking
2025-12-26 06:15:00,91,0.0,35,2.31,Walking
2025-12-26 06:20:00,85,0.0,53,2.98,Walking
2025-12-26 06:25:00,85,0.0,63,3.38,Walking
2025-12-26 06:30:00,80,0.0,46,2.65,Walking
2025-12-26 06:35:00,84,0.0,60,3.25,Walking
2025-12-26 06:40:00,81,0.0,66,3.46,Walking
2025-12-26 06:45:00,92,0.0,42,2.6,Walking
2025-12-26 06:50:00,80,0.0,57,3.08,Walking
2025-12-26 06:55:00,86,0.0,54,3.03,Walking
2025-12-26 07:00:00,91,0.0,66,3.55,Walking
2025-12-26 07:05:00,93,0.0,46,2.77,Walking
2025-12-26 07:10:00,88,0.0,48,2.81,Walking
2025-12-26 07:15:00,87,0.0,64,3.44,Walking
2025-12-26 07:20:00,87,0.0,41,2.51,Walking
2025-12-26 07:25:00,84,0.0,30,2.04,Walking
2025-12-26 07:30:00,80,0.0,39,2.37,Walking
2025-12-26 07:35:00,80,0.0,33,2.13,Walking
